machine_operation_time,ejector_forward_time,ejector_backward_time,injection_time,holding_pressure_time,metering_time,max_injection_pressure,holding_pressure_switch,label,device_name,save_time
17.7396,0.807389,0.803389,2.00044,0.0,3.18553,1033.53,1029.03,1,BB2,2022-10-28 22:10:07
15.2802,0.413498,0.41127,2.00039,2.00108,2.77559,1034.29,1030.03,1,BB2,2022-10-19 11:44:45
15.2601,0.413502,0.411321,2.00044,2.00102,2.65364,1034.04,1029.78,1,BB2,2022-10-20 18:01:45
15.2603,0.413399,0.411364,2.00042,2.00114,2.80371,1034.04,1030.03,1,BB2,2022-10-19 13:45:03
15.28,0.412331,0.411412,2.00028,2.00107,2.73969,1034.29,1029.28,1,BB2,2022-10-18 15:36:50
15.2602,0.412283,0.411409,2.00053,2.00095,2.84559,1034.04,1029.28,1,BB2,2022-10-19 04:33:33
15.2603,0.413621,0.411278,2.00044,2.00112,2.75667,1034.29,1029.28,1,BB2,2022-10-20 21:01:07
17.7194,0.807332,0.803412,2.00034,0.0,3.15762,1034.29,1029.03,1,BB2,2022-10-31 15:05:15
17.744,0.807362,0.804388,2.00031,0.0,3.1816,1033.53,1030.03,1,BB2,2022-10-29 00:49:21
15.9861,0.776279,0.771438,2.00037,0.0,3.81248,1033.03,734.821,0,BB2,2022-10-25 17:35:28
15.2588,0.413492,0.411374,2.0003,2.00105,2.70064,1034.04,1029.78,1,BB2,2022-09-29 19:10:17
15.278,0.412326,0.41143,2.00047,2.0009,2.67757,1034.54,1030.03,1,BB2,2022-10-20 13:00:00
15.2591,0.412295,0.411416,2.00029,2.00104,2.98353,1034.29,1029.03,1,BB2,2022-10-25 10:52:56
17.7203,0.807433,0.804384,2.00028,0.0,3.07462,1034.29,1029.03,1,BB2,2022-10-27 10:06:21
17.74,0.807366,0.803566,2.00029,0.0,4.71495,998.73,738.076,0,BB2,2022-10-26 12:21:13
17.7194,0.807436,0.803429,2.00055,0.0,3.14554,1033.78,1029.78,1,BB2,2022-10-29 02:37:39
15.2802,0.413643,0.411449,2.00047,2.00096,2.72154,1034.29,1029.28,1,BB2,2022-10-21 10:47:57
26.5585,0.392458,0.389515,1.50041,2.00082,9.26179,980.202,849.499,0,BB2,2022-10-13 14:00:46
17.5401,0.776306,0.771335,2.00042,0.0,4.57152,957.416,736.574,0,BB2,2022-10-26 03:28:24
15.2786,0.413491,0.41141,2.00044,2.00101,2.70562,1035.04,1030.03,1,BB2,2022-10-19 16:34:48
15.2803,0.413554,0.41142,2.00037,2.00003,2.63059,1034.04,1030.28,1,BB2,2022-09-29 22:15:33
26.5398,0.393366,0.38965,1.50044,2.00083,9.19862,981.454,853.255,0,BB2,2022-10-13 12:06:37
26.54,0.392466,0.389483,1.50041,2.001,8.75356,981.704,824.21,0,BB2,2022-10-14 09:11:10
17.7186,0.80736,0.803547,2.00026,0.0,3.11163,1033.78,1030.03,1,BB2,2022-10-28 15:13:15
15.278,0.413416,0.411414,2.00035,2.00112,2.97559,1034.29,1030.03,1,BB2,2022-10-21 12:01:05
15.2802,0.412401,0.411425,2.00036,2.00112,2.77759,1034.54,1029.78,1,BB2,2022-10-19 01:54:02
17.7404,0.807229,0.802388,2.0002,0.0,3.15677,1034.29,1029.28,1,BB2,2022-10-29 10:51:54
15.26,0.413655,0.411467,2.00038,2.00113,2.6786,1034.04,1029.03,1,BB2,2022-09-29 16:44:48
15.278,0.413453,0.411263,2.0004,2.00103,2.72563,1034.29,1028.78,1,BB2,2022-10-25 01:20:10
17.7421,0.807333,0.804054,2.00034,0.0,3.85961,1032.53,749.594,1,BB2,2022-10-26 14:40:18
15.2601,0.413388,0.411526,2.00047,2.00096,2.95871,1034.04,1029.78,1,BB2,2022-10-24 19:36:27
15.9793,0.775415,0.771211,2.00054,0.0,3.81972,1033.78,924.365,1,BB2,2022-10-25 15:21:51
17.7386,0.80747,0.803479,2.00036,0.0,3.38862,1034.04,1030.28,1,BB2,2022-10-29 04:14:07
17.7196,0.807475,0.803046,2.00044,0.0,3.25764,1033.53,1029.53,1,BB2,2022-10-28 15:14:44
17.7406,0.808397,0.802443,2.00041,0.0,3.23363,1033.78,1030.03,1,BB2,2022-10-27 18:02:55
15.2781,0.413437,0.41126,2.00039,2.00105,3.22067,1034.04,1029.53,1,BB2,2022-10-25 12:50:39
17.76,0.808395,0.803576,2.00037,0.0,3.14456,1033.78,1029.53,1,BB2,2022-10-28 00:55:48
26.5404,0.392385,0.39033,1.50036,2.00087,9.29876,980.202,843.991,1,BB2,2022-10-13 22:41:41
15.2803,0.41237,0.411311,2.0004,2.00014,2.6586,1034.79,1030.53,0,BB2,2022-10-21 06:01:18
19.3836,0.811409,0.803499,2.00042,0.0,3.99265,1033.78,902.832,1,BB2,2022-10-26 09:01:32
19.3801,0.812269,0.803647,2.00037,0.0,3.59965,1033.53,932.878,1,BB2,2022-10-26 07:52:43
15.2601,0.413503,0.411417,2.00041,2.00102,2.76647,1034.29,1029.53,1,BB2,2022-10-19 18:15:59
15.2599,0.413405,0.411304,2.00008,2.00099,2.8326,1034.29,1029.53,1,BB2,2022-09-29 22:05:37
17.5588,0.774406,0.771374,2.00038,0.0,3.92465,1032.28,788.404,1,BB2,2022-10-25 23:05:38
15.259,0.412396,0.411507,2.00055,2.00088,2.73159,1034.54,1030.03,1,BB2,2022-10-22 09:59:40
15.2787,0.413304,0.411338,2.00026,2.00103,2.71153,1033.78,1029.78,1,BB2,2022-10-19 11:52:08
17.5193,0.775443,0.771401,2.00037,0.0,4.12673,1034.79,914.35,1,BB2,2022-10-26 00:08:34
15.2789,0.412403,0.411338,2.00046,2.00097,2.75162,1034.54,1029.78,1,BB2,2022-10-18 15:11:06
15.258,0.411393,0.410331,2.00049,2.00093,2.73658,1033.53,1029.28,1,BB2,2022-10-20 09:40:48
15.2801,0.413466,0.411324,2.00026,2.00104,2.8057,1034.04,1029.03,1,BB2,2022-10-21 02:05:21
17.7391,0.808421,0.804395,2.00042,0.0,3.05861,1033.78,1030.28,1,BB2,2022-10-27 02:52:42
17.7403,0.808429,0.803479,2.00044,0.0,3.16566,1034.29,1029.78,1,BB2,2022-10-28 09:50:08
26.5586,0.39227,0.389373,1.50046,2.00082,8.81661,979.701,825.712,0,BB2,2022-10-14 09:07:11
15.2602,0.413511,0.411426,2.00034,2.00112,2.91061,1034.04,1030.53,1,BB2,2022-10-21 15:45:49
15.2603,0.413506,0.411392,2.00049,2.00093,2.70474,1034.54,1029.78,1,BB2,2022-09-29 13:23:20
15.2602,0.413469,0.411405,2.00036,2.00102,2.67155,1034.04,1030.03,1,BB2,2022-09-29 14:33:56
15.2604,0.413652,0.411451,2.00027,2.00004,3.23463,1034.04,1029.78,1,BB2,2022-10-22 00:51:05
15.2594,0.412288,0.411373,2.00032,2.00002,2.64856,1034.04,1029.78,1,BB2,2022-10-25 09:11:31
17.54,0.774357,0.77144,2.00035,0.0,3.79561,1034.04,815.697,1,BB2,2022-10-25 23:50:25
15.26,0.41345,0.411477,2.00042,2.00103,2.8386,1034.04,1029.53,1,BB2,2022-10-21 12:25:02
17.7405,0.80828,0.803471,2.00048,0.0,3.1576,1034.04,1029.28,1,BB2,2022-10-29 17:35:16
15.2593,0.41242,0.411431,2.00044,2.001,3.03954,1034.04,1029.78,1,BB2,2022-10-25 12:58:17
17.7403,0.807373,0.803594,2.00022,0.0,3.11461,1034.04,1030.28,1,BB2,2022-10-27 05:27:48
15.999,0.775351,0.771413,2.00039,0.0,3.67088,1034.04,949.905,1,BB2,2022-10-25 15:50:23
17.7388,0.806385,0.802476,2.00019,0.0,3.18562,1034.04,1030.28,1,BB2,2022-10-31 10:41:01
15.28,0.413618,0.411371,2.00033,2.00102,2.80163,1034.04,1030.03,1,BB2,2022-10-21 00:07:54
15.2599,0.413329,0.411406,1.99992,2.00101,2.79658,1034.54,1029.53,1,BB2,2022-10-19 01:37:59
15.2802,0.412434,0.411397,2.00021,2.001,2.76669,1034.54,1030.28,1,BB2,2022-10-19 08:36:24
17.741,0.806411,0.803473,2.00037,0.0,3.17157,1034.04,1029.53,1,BB2,2022-10-29 02:00:39
17.7396,0.807469,0.804382,2.00041,0.0,3.2286,1034.04,1029.53,1,BB2,2022-10-27 04:37:11
15.2803,0.412429,0.411412,2.00046,2.00106,2.6607,1034.29,1029.78,1,BB2,2022-10-24 21:50:13
15.26,0.412381,0.411343,2.00045,2.00094,2.70461,1034.04,1029.53,1,BB2,2022-10-19 12:25:16
15.2599,0.41236,0.411447,2.0004,2.00098,2.66672,1034.54,1029.03,1,BB2,2022-10-24 12:55:39
17.76,0.807495,0.803614,2.00038,0.0,3.04761,1033.78,1029.53,1,BB2,2022-10-27 03:01:35
15.2604,0.413523,0.411331,2.0004,2.00111,2.71564,1034.29,1029.53,1,BB2,2022-10-19 12:10:29
19.3852,0.811398,0.803377,2.00028,0.0,3.67353,1034.04,921.861,1,BB2,2022-10-26 07:51:26
17.7396,0.808487,0.803488,2.00044,0.0,3.19554,1034.04,1029.78,1,BB2,2022-10-27 23:56:53
17.7408,0.8074,0.803342,2.00029,0.0,3.15252,1034.04,1030.03,1,BB2,2022-10-27 05:45:54
15.26,0.413529,0.411513,2.00035,2.00102,3.10759,1033.78,1030.03,1,BB2,2022-10-24 18:54:09
17.7204,0.808391,0.803506,2.00041,0.0,3.19872,1033.78,1029.53,1,BB2,2022-10-31 15:12:21
17.7462,0.807215,0.803519,2.0004,0.0,3.24378,1034.04,1031.03,0,BB2,2022-10-27 13:33:34
15.2603,0.413528,0.411312,2.0003,2.00104,2.68858,1034.04,1030.28,1,BB2,2022-10-21 08:21:26
15.26,0.412329,0.410405,2.00039,2.00098,2.75277,1034.29,1029.53,1,BB2,2022-10-19 08:46:51
15.26,0.413598,0.411384,2.00043,2.00105,3.05769,1034.29,1029.78,1,BB2,2022-10-22 13:53:35
17.739,0.807471,0.803474,2.00042,0.0,3.10462,1033.53,1029.53,1,BB2,2022-10-28 07:30:08
15.2803,0.413483,0.411409,2.00044,2.00104,2.75369,1034.54,1029.28,1,BB2,2022-10-19 06:33:19
17.7406,0.808393,0.803429,2.00033,0.0,3.43768,1034.04,1029.53,1,BB2,2022-10-31 14:30:55
15.2788,0.413334,0.41138,2.00034,2.00105,2.67266,1034.29,1029.78,1,BB2,2022-10-21 02:04:51
15.2588,0.413496,0.411385,2.00055,2.0009,3.23167,1034.04,1029.03,1,BB2,2022-10-21 17:42:00
17.74,0.807438,0.803453,2.00041,0.0,3.97559,1033.53,933.88,1,BB2,2022-10-26 10:10:34
17.7461,0.806416,0.803487,2.0004,0.0,3.18153,1034.04,1029.03,1,BB2,2022-10-29 10:39:10
15.2588,0.413391,0.411347,2.00042,2.00097,2.85161,1034.29,1030.03,1,BB2,2022-10-21 15:20:35
17.7401,0.80856,0.803463,2.00048,0.0,3.15059,1033.53,1030.03,1,BB2,2022-10-29 18:08:42
17.7462,0.807251,0.803382,2.00042,0.0,3.2436,1034.54,1029.53,1,BB2,2022-10-28 00:31:13
15.278,0.412449,0.411421,2.00028,2.00103,2.87961,1034.29,1030.28,1,BB2,2022-10-25 05:47:27
15.26,0.413469,0.411406,2.00019,2.00102,3.10269,1033.28,1030.28,1,BB2,2022-10-21 17:31:18
15.26,0.413442,0.411385,2.00027,2.00096,2.2536,1034.29,1030.78,0,BB2,2022-09-29 14:02:51
17.7422,0.808331,0.803505,2.00042,0.0,3.2176,1034.04,1029.78,1,BB2,2022-10-27 14:05:32
15.2589,0.413486,0.411316,2.00034,2.00101,3.27956,1034.54,1029.78,1,BB2,2022-10-22 19:38:20
15.2589,0.413524,0.411432,2.00053,2.00093,2.82661,1034.04,1029.28,1,BB2,2022-10-18 23:28:46
17.7401,0.807395,0.804355,2.00039,0.0,3.24968,1033.53,1029.03,1,BB2,2022-10-26 19:41:18
15.2589,0.41351,0.411372,2.00043,2.00101,2.65755,1034.29,1030.03,1,BB2,2022-10-20 16:23:20
15.28,0.413525,0.411531,2.00043,2.00103,3.31855,1033.78,1029.78,1,BB2,2022-10-24 19:05:06
17.7385,0.807263,0.803438,2.00038,0.0,3.6086,1034.29,933.379,1,BB2,2022-10-26 19:45:44
15.28,0.413608,0.411331,2.00052,2.00106,2.73661,1034.04,1030.53,1,BB2,2022-09-29 14:17:38
15.2787,0.413518,0.411317,2.00041,2.001,2.85959,1034.54,1030.28,1,BB2,2022-10-19 15:09:55
15.26,0.413571,0.41138,2.00042,2.00103,2.7855,1035.04,1030.28,1,BB2,2022-10-21 02:41:32
26.54,0.392458,0.390385,1.50052,2.00084,9.29165,980.202,848.498,0,BB2,2022-10-14 02:08:06
15.2786,0.412294,0.410456,2.00028,2.00092,2.74079,1034.04,1029.78,1,BB2,2022-10-20 10:19:00
15.2603,0.412267,0.411329,2.00041,2.00103,2.77561,1034.29,1029.53,1,BB2,2022-10-18 23:50:26
17.7396,0.80845,0.803515,2.00042,0.0,3.38662,1033.53,1029.78,1,BB2,2022-10-31 19:01:06
15.26,0.413431,0.411347,1.99996,2.00107,2.84551,1034.04,1029.53,1,BB2,2022-10-19 02:35:34
26.5801,0.392399,0.390417,1.50043,2.00092,8.74556,979.951,830.72,0,BB2,2022-10-14 04:46:00
15.2803,0.412472,0.411376,2.00043,2.001,2.94775,1034.29,1030.03,1,BB2,2022-10-18 14:11:18
15.2801,0.413499,0.411365,2.00055,2.00087,2.62765,1034.29,1029.28,1,BB2,2022-10-21 04:41:02
17.5388,0.77548,0.772421,2.00044,0.0,4.18963,1032.53,736.324,1,BB2,2022-10-26 01:24:41
26.5404,0.392362,0.390403,1.50042,2.00099,9.29279,979.451,849.249,0,BB2,2022-10-13 20:48:21
17.7405,0.807403,0.803496,2.0003,0.0,3.28665,1033.78,1029.03,1,BB2,2022-10-29 04:09:41
15.2601,0.413655,0.411397,2.00042,2.00109,3.05273,1034.04,1029.78,1,BB2,2022-10-21 12:47:58
15.986,0.77442,0.771376,2.00049,0.0,3.89664,1033.78,923.614,1,BB2,2022-10-25 21:44:31
17.7388,0.807281,0.803612,2.00021,0.0,3.13754,1034.29,1029.28,1,BB2,2022-10-27 04:17:39
15.28,0.41242,0.41133,2.0003,2.00105,2.87462,1034.54,1030.78,0,BB2,2022-10-18 20:26:34
17.54,0.774376,0.772293,2.00023,0.0,3.82755,1032.78,857.511,1,BB2,2022-10-25 22:39:53
15.2787,0.413509,0.411371,2.00039,2.00103,2.63962,1034.54,1029.03,1,BB2,2022-10-24 15:38:13
15.26,0.41342,0.411552,2.00054,2.0009,2.60569,1034.29,1030.03,1,BB2,2022-10-24 20:51:37
15.2588,0.413514,0.411304,2.00036,2.00102,2.9246,1034.04,1029.78,1,BB2,2022-10-22 15:39:50
17.7406,0.807358,0.804441,2.00052,0.0,3.21472,1033.53,1030.03,1,BB2,2022-10-29 00:37:13
26.5397,0.392288,0.389513,1.50039,2.0009,9.30162,980.452,851.753,0,BB2,2022-10-13 20:05:44
16.0825,0.774385,0.77137,2.00053,0.0,4.80861,1027.02,735.322,0,BB2,2022-10-25 20:32:35
15.2603,0.413479,0.411529,2.00048,2.00103,2.84968,1034.29,1029.28,1,BB2,2022-10-19 16:54:25
15.2588,0.413589,0.411351,2.00027,2.00101,2.59768,1034.04,1029.03,1,BB2,2022-10-22 03:11:59
15.2803,0.413407,0.411384,2.00039,2.00088,2.73556,1034.29,1029.28,1,BB2,2022-10-19 17:22:58
15.2593,0.4124,0.411419,2.00028,2.00103,2.69658,1034.04,1029.53,1,BB2,2022-10-25 09:16:37
26.5402,0.393474,0.389545,1.50028,2.00089,9.28085,980.702,853.005,0,BB2,2022-10-13 19:41:23
